Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person
32,17,4.9,female,700,5.0,Wildcraft,0.9,900,No,winter,plains,1.0
16,9,4.2,male,400,4.4,Johnson & Johnson,0.8,300,No,summer,plains,0.9
30,16,4.8,female,900,5.0,Pepperfry,0.9,700,No,winter,plains,1.0
11,6,3.5,male,6000,3.7,Urban Ladder,0.4,700,Yes,summer,coastal,0.6
25,13,4.5,female,400,4.7,Manyavar Mohey,0.8,400,No,summer,plains,0.9
8,5,3.2,male,500,3.4,AmazonBasics,-0.1,600,Yes,winter,plains,0.3
21,12,4.6,female,3000,4.8,Wakefit,0.9,800,Yes,summer,plains,1.0
15,9,4.0,male,200,4.2,Flying Machine,0.7,400,No,winter,plains,0.8
26,14,4.7,female,800,4.9,Wildcraft,0.9,900,No,winter,plains,1.0
10,6,3.3,male,700,3.5,Lee,0.1,200,No,summer,plains,0.4
18,11,4.5,female,4000,4.7,Johnson & Johnson,0.8,500,Yes,winter,coastal,1.0
33,18,5.0,male,500,5.0,Pepperfry,0.9,700,No,winter,plains,1.0
9,6,3.3,female,100,3.5,Manyavar Mohey,0.2,400,No,summer,plains,0.5
24,13,4.6,male,2000,4.8,AmazonBasics,-0.1,600,Yes,winter,plains,0.3
16,10,4.1,female,6000,4.3,Wildcraft,0.8,800,Yes,summer,coastal,0.9
29,16,4.9,male,300,5.0,Lee,0.8,300,No,summer,plains,1.0
11,7,3.7,female,700,3.9,Sugar Cosmetics,0.5,200,Yes,monsoon,plains,0.7
22,13,4.7,male,900,4.9,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
17,10,4.4,female,5000,4.6,Wakefit,0.8,600,Yes,summer,plains,0.9
31,17,4.9,male,200,5.0,AmazonBasics,-0.1,700,No,winter,plains,1.0
14,9,4.0,female,4000,4.2,Wildcraft,0.7,800,Yes,summer,coastal,0.9
28,16,4.9,male,400,5.0,Manyavar Mohey,0.9,900,No,summer,plains,1.0
12,7,3.6,female,1000,3.8,Lakme Ayurveda,0.4,200,Yes,summer,coastal,0.6
25,14,4.8,male,800,5.0,Wildcraft,0.9,1000,Yes,winter,plains,1.0
8,6,3.4,female,2000,3.6,Johnson & Johnson,0.3,300,No,summer,coastal,0.6
21,13,4.7,male,300,4.9,Manyavar Mohey,0.9,800,Yes,winter,mountains,1.0
15,10,4.1,female,7000,4.3,Wakefit,0.8,900,Yes,summer,plains,0.9
30,17,4.9,male,400,5.0,Lee,0.9,300,No,summer,plains,1.0
10,7,3.4,female,100,3.6,Pepe Jeans London,0.2,400,No,winter,plains,0.5
19,12,4.6,male,2000,4.8,Johnson & Johnson,0.9,500,Yes,winter,coastal,1.0
34,19,5.0,female,500,5.0,Wildcraft,0.9,700,No,winter,plains,1.0
16,11,4.3,male,6000,4.5,Pepperfry,0.8,800,Yes,summer,coastal,0.9
29,17,4.9,female,300,5.0,Manyavar Mohey,0.9,900,No,summer,plains,1.0
13,8,3.9,male,800,4.1,Flying Machine,0.7,200,Yes,winter,plains,0.8
22,14,4.8,female,1000,5.0,Wildcraft,0.9,800,Yes,summer,plains,1.0
17,11,4.5,male,300,4.7,Pepe Jeans London,0.8,400,No,winter,plains,0.9
32,18,5.0,female,900,5.0,Wakefit,0.9,700,No,winter,plains,1.0
18,12,4.7,male,100,4.9,AmazonBasics,-0.1,800,Yes,winter,plains,0.3
26,15,4.8,female,2000,5.0,Wildcraft,0.9,900,No,winter,plains,1.0
11,8,3.8,male,4000,4.0,Sugar Cosmetics,0.6,200,Yes,monsoon,plains,0.8
20,13,4.5,female,500,4.7,Lee,0.8,300,No,summer,plains,0.9
15,11,4.2,male,6000,4.4,Lakme Ayurveda,0.8,800,Yes,summer,coastal,0.9
30,18,4.9,female,700,5.0,Wildcraft,0.9,1000,No,winter,plains,1.0
9,7,3.5,male,100,3.7,Pepperfry,0.0,400,Yes,winter,plains,0.1
24,14,4.7,female,3000,4.9,Manyavar Mohey,0.9,900,Yes,winter,plains,1.0
16,12,4.4,male,200,4.6,Flying Machine,0.8,500,Yes,summer,plains,0.9
31,18,4.9,female,5000,5.0,Wildcraft,0.9,700,No,winter,plains,1.0
14,10,4.2,male,300,4.4,Johnson & Johnson,0.8,400,No,summer,plains,0.9
28,17,4.9,female,700,5.0,Wakefit,0.9,900,No,summer,plains,1.0
12,8,3.7,male,1000,3.9,Pepe Jeans London,0.5,200,No,winter,plains,0.8
25,15,4.9,female,800,5.0,Manyavar Mohey,0.9,400,No,summer,plains,1.0
8,7,3.6,male,2000,3.8,AmazonBasics,-0.1,500,Yes,winter,plains,0.3
21,14,4.8,female,300,5.0,Lakme Ayurveda,0.9,800,Yes,summer,plains,1.0
15,12,4.3,male,7000,4.5,Wildcraft,0.8,900,Yes,summer,coastal,0.9
30,19,5.0,female,100,5.0,Manyavar Mohey,0.9,1000,No,summer,plains,1.0
10,8,3.6,male,1000,3.8,Lee,0.1,300,No,summer,plains,0.4
19,13,4.6,female,2000,4.8,Johnson & Johnson,0.9,500,Yes,winter,coastal,1.0
34,20,5.0,male,300,5.0,Pepperfry,0.9,700,No,winter,plains,1.0
16,13,4.5,female,6000,4.7,Wildcraft,0.8,800,Yes,summer,coastal,0.9
29,18,4.9,male,400,5.0,Lee,0.9,300,No,summer,plains,1.0
13,9,4.0,female,900,4.2,Sugar Cosmetics,0.7,200,Yes,winter,plains,0.8
22,15,4.9,male,1000,5.0,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
17,12,4.6,female,400,4.8,Wakefit,0.8,400,Yes,summer,plains,0.9
32,19,5.0,male,700,5.0,Wildcraft,0.9,700,No,winter,plains,1.0
18,13,4.7,female,800,4.9,Manyavar Mohey,0.9,900,Yes,winter,plains,1.0
26,16,4.9,male,200,5.0,Wildcraft,0.9,1000,Yes,winter,plains,1.0
11,9,3.9,female,5000,4.1,Pepperfry,0.7,300,Yes,summer,plains,0.9
20,14,4.6,male,300,4.8,Lee,0.8,500,Yes,summer,plains,0.9
15,13,4.4,female,7000,4.6,Wildcraft,0.8,900,Yes,summer,coastal,0.9
30,20,5.0,male,100,5.0,Manyavar Mohey,0.9,1000,No,summer,plains,1.0
9,8,3.7,female,2000,3.9,Johnson & Johnson,0.4,400,Yes,summer,coastal,0.7
24,15,4.8,male,400,5.0,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,14,4.6,female,6000,4.8,Wildcraft,0.8,800,Yes,summer,coastal,0.9
11,10,4.0,male,300,4.2,Head Hunters,0.7,500,Yes,summer,coastal,0.9
29,19,4.9,female,700,5.0,Manyavar Mohey,0.9,1000,No,summer,plains,1.0
13,10,3.8,male,900,4.0,Sugar Cosmetics,0.7,200,Yes,winter,plains,0.8
22,16,5.0,female,1000,5.0,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
17,13,4.7,female,400,4.9,Wakefit,0.9,500,Yes,summer,plains,1.0
32,20,5.0,male,700,5.0,Wildcraft,0.9,700,No,winter,plains,1.0
18,14,4.8,female,800,5.0,Manyavar Mohey,0.9,900,Yes,winter,plains,1.0
26,17,5.0,male,200,5.0,Wildcraft,0.9,1000,Yes,winter,plains,1.0
11,11,4.1,female,5000,4.3,Pepperfry,0.8,300,Yes,summer,plains,0.9
20,15,4.7,male,300,4.9,Lee,0.8,500,Yes,summer,plains,0.9
15,14,4.5,female,7000,4.7,Wildcraft,0.8,900,Yes,summer,coastal,0.9
30,21,5.0,male,100,5.0,Manyavar Mohey,0.9,1000,No,summer,plains,1.0
9,9,3.8,female,2000,4.0,Johnson & Johnson,0.4,400,Yes,summer,coastal,0.7
24,16,4.9,male,400,5.0,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
16,15,4.7,female,6000,4.9,Wildcraft,0.8,800,Yes,summer,coastal,0.9
11,12,4.2,male,300,4.4,Head Hunters,0.8,500,Yes,summer,coastal,0.9
29,20,4.9,female,700,5.0,Manyavar Mohey,0.9,1000,No,summer,plains,1.0
13,11,3.9,male,900,4.1,Sugar Cosmetics,0.7,200,Yes,winter,plains,0.8
22,17,5.0,female,1000,5.0,Pepe Jeans London,0.9,800,No,winter,mountains,1.0
17,14,4.8,female,400,5.0,Wakefit,0.9,500,Yes,summer,plains,1.0
32,21,5.0,male,700,5.0,Wildcraft,0.9,700,No,winter,plains,1.0
18,15,4.9,female,800,5.0,Manyavar Mohey,0.9,900,Yes,winter,plains,1.0
26,18,5.0,male,200,5.0,Wildcraft,0.9,1000,Yes,winter,plains,1.0
11,13,4.3,female,5000,4.5,Pepperfry,0.8,300,Yes,summer,plains,0.9
20,16,4.8,male,300,5.0,Lee,0.8,500,Yes,summer,plains,1.0
15,15,4.6,female,7000,4.8,Wildcraft,0.8,900,Yes,summer,coastal,0.9
23,10,4.2,male,700,4.3,Pepperfry,0.75,500,No,summer,plains,0.85
15,5,3.8,female,400,3.9,Max,0.62,300,No,winter,plains,0.65
8,2,4.5,male,3000,4.7,PUMA,0.85,2000,No,summer,mountains,0.92
45,18,4.7,female,2000,4.8,Head Hunters,0.9,1800,Yes,winter,plains,0.88
32,12,4.1,male,500,4.2,Johnson & Johnson,0.78,400,No,monsoon,coastal,0.7
10,3,3.9,male,900,3.7,Moov,-0.15,700,No,summer,plains,0.4
5,1,3.2,female,6000,3.4,Pepe Jeans London,0.45,600,Yes,winter,mountains,0.55
28,9,4.0,female,1000,4.2,Wildcraft,0.8,900,No,summer,plains,0.78
19,7,4.3,male,1500,4.6,Kama Ayurveda,0.88,1400,No,winter,mountains,0.9
38,15,4.6,female,200,4.5,Manyavar Mohey,0.92,180,Yes,monsoon,coastal,0.95
12,4,3.5,female,400,3.6,Libram,0.55,300,No,winter,plains,0.6
20,6,3.7,male,700,3.9,Lee,0.7,600,Yes,summer,plains,0.72
7,2,4.8,male,2000,4.9,Himalaya Liv.52,0.85,1900,No,monsoon,mountains,0.78
42,17,4.9,female,3000,4.7,Patanjali Ayurved (Health Care),0.82,2500,Yes,winter,plains,0.8
25,8,4.4,female,800,4.5,Lakme Ayurveda,0.75,700,No,summer,plains,0.68
30,11,4.3,male,1000,4.4,Flying Machine,0.68,900,Yes,winter,mountains,0.7
14,5,3.6,male,500,3.5,Fastrack,0.6,400,No,monsoon,coastal,0.5
6,2,3.0,female,6000,3.1,Khadi Essentials,0.4,500,Yes,winter,mountains,0.45
35,14,4.5,female,300,4.6,Allen Solly Woman,0.88,250,No,summer,plains,0.82
18,7,4.1,male,900,4.3,Whisper,0.65,800,No,winter,plains,0.7
9,3,4.7,female,1500,4.8,Levis Strauss & Co.,0.9,1300,Yes,summer,mountains,0.85
22,9,4.0,male,400,4.1,Wakefit,0.72,300,No,monsoon,coastal,0.65
11,4,3.8,female,700,3.7,Wild Stone,0.5,600,Yes,winter,mountains,0.55
16,6,4.2,female,2000,4.4,Forest Essentials,0.78,1800,No,summer,plains,0.75
40,16,4.4,male,100,4.3,Biovea,0.82,90,No,monsoon,coastal,0.75
29,11,4.3,male,600,4.5,Johnson & Johnson,0.7,500,No,summer,plains,0.68
13,5,3.7,female,5000,3.9,Pepperfry,0.6,4500,Yes,winter,mountains,0.65
8,3,4.6,female,800,4.7,U.S. Polo Assn. Women,0.85,700,No,summer,plains,0.82
36,14,4.5,male,3000,4.8,Wildcraft,0.92,2700,Yes,winter,mountains,0.88
21,8,4.2,female,700,4.3,Manyavar Mohey,0.78,600,No,summer,plains,0.72
45,18,4.8,male,2000,4.7,Lee,0.8,1800,No,winter,plains,0.75
10,4,3.9,male,400,3.8,Sugar Cosmetics,0.45,300,Yes,summer,plains,0.4
27,10,4.1,female,1000,4.2,Forest Essentials,0.68,900,No,winter,mountains,0.62
17,7,3.5,male,900,3.7,Streax,0.55,800,Yes,summer,plains,0.5
33,13,4.6,female,1500,4.5,Himalaya Liv.52,0.75,1400,No,monsoon,coastal,0.78
5,2,3.2,male,600,3.3,Allen Solly Woman,0.4,500,Yes,winter,mountains,0.45
39,15,4.7,male,100,4.6,Moov,0.85,90,No,summer,plains,0.82
24,9,4.4,female,2000,4.5,Head Hunters,0.9,1800,Yes,winter,plains,0.88
12,4,3.8,male,500,3.7,Libram,0.62,400,No,summer,plains,0.6
41,16,4.3,female,3000,4.4,Wakefit,0.72,2800,Yes,winter,mountains,0.75
19,7,3.9,male,800,4.0,Vero Moda,0.5,700,No,summer,plains,0.45
30,11,4.5,female,1000,4.6,PUMA,0.82,900,No,winter,mountains,0.78
14,5,3.6,male,700,3.5,Pepe Jeans London,0.4,600,Yes,summer,plains,0.35
28,10,4.8,male,1500,4.7,Godrej Interio,0.75,1400,No,monsoon,coastal,0.7
8,3,3.3,female,6000,3.5,Zandu,0.35,550,Yes,winter,mountains,0.3
25,9,4.2,male,200,4.4,Lee Cooper,0.68,190,No,summer,plains,0.65
35,14,4.6,female,1000,4.7,Manyavar Mohey,0.88,950,No,winter,mountains,0.85
9,4,4.1,female,400,4.3,Lakme Ayurveda,0.72,300,No,summer,plains,0.68
20,8,3.7,male,900,3.9,Patanjali Ayurved (Health Care),0.55,800,Yes,winter,plains,0.5
16,6,3.8,female,700,4.0,Lijoba,0.62,600,No,summer,plains,0.6
32,12,4.4,male,2000,4.5,Max,0.8,1800,Yes,winter,plains,0.78
10,3,4.0,female,600,4.1,Head Hunters,0.75,500,No,summer,plains,0.72
24,9,4.6,male,1000,4.7,Flying Machine,0.88,900,No,winter,mountains,0.85
7,2,3.5,female,5000,3.7,Dettol,0.4,4500,Yes,summer,coastal,0.45
39,15,4.9,male,300,4.8,Flying Machine,0.92,280,No,monsoon,coastal,0.88
18,7,4.3,female,900,4.4,Wildcraft,0.78,800,No,summer,plains,0.75
29,11,4.7,male,1500,4.6,Sugar Cosmetics,0.82,1400,Yes,winter,mountains,0.8
13,5,3.6,female,400,3.5,Streax,0.5,300,No,summer,plains,0.45
26,10,4.1,male,800,4.3,Wild Stone,0.7,700,No,winter,plains,0.68
8,3,4.2,male,2000,4.4,Kama Ayurveda,0.75,1900,Yes,summer,mountains,0.72
34,13,4.5,female,100,4.6,Dettol,0.9,90,No,monsoon,coastal,0.88
21,8,3.9,female,700,4.1,Allen Solly Woman,0.65,600,No,summer,plains,0.62
45,18,4.8,male,2000,4.7,Pepperfry,0.82,1800,Yes,winter,plains,0.8
10,4,3.7,male,500,3.9,Whisper,0.55,400,No,summer,plains,0.5
27,10,4.3,female,1500,4.5,Manyavar Mohey,0.72,1400,Yes,winter,mountains,0.68
15,6,3.8,female,5000,4.0,Moov,0.45,4500,No,summer,coastal,0.4
31,12,4.6,male,300,4.5,Flying Machine,0.85,280,No,monsoon,coastal,0.82
6,2,3.3,male,800,3.5,SleepyCat,0.4,700,No,winter,plains,0.35
38,15,4.9,female,1000,4.8,Wildcraft,0.9,900,Yes,summer,mountains,0.88
19,7,3.7,female,2000,3.8,Patanjali Ayurved (Health Care),0.58,1900,No,winter,plains,0.55
22,7,4.2,male,1000,4.6,Lakme Ayurveda,0.8,700,No,summer,plains,0.85
8,2,3.9,female,300,3.2,Flying Machine,-0.2,2000,Yes,winter,plains,0.45
35,14,4.7,male,5000,4.8,Urban Ladder,0.9,9000,Yes,monsoon,mountains,0.95
12,5,4.5,female,2000,3.9,Dove Hair,0.5,3000,No,spring,plains,0.65
43,18,4.9,male,10000,4.7,Patanjali Ayurved (Health Care),0.7,4000,No,winter,plains,0.75
5,1,3.1,female,100,2.5,Manyavar Mohey,-0.8,800,Yes,summer,coastal,0.15
29,10,4.4,male,3000,4.2,Wildcraft,0.6,6000,No,monsoon,mountains,0.8
17,4,3.8,female,1000,3.6,Pepe Jeans London,-0.1,700,No,summer,plains,0.4
38,16,4.6,male,7000,4.9,Allen Solly Woman,0.95,10000,Yes,winter,mountains,0.9
3,0,2.2,female,100,1.8,Johnson & Johnson,-0.9,200,No,summer,coastal,0.05
25,9,4.1,male,500,3.8,Head & Shoulders,0.3,4000,No,winter,plains,0.7
10,3,3.5,female,2000,3.4,Pepperfry,-0.3,500,No,spring,plains,0.5
47,19,4.8,male,9000,4.5,Dettol,0.85,8000,No,winter,mountains,0.85
2,0,1.5,female,100,1.2,Libram,-0.95,100,No,summer,coastal,0.025
31,12,4.3,male,4000,4.3,Lijoba,0.4,3000,No,monsoon,mountains,0.75
14,6,3.7,female,300,3.1,Max,-0.5,1000,No,spring,plains,0.55
40,17,4.7,male,6000,4.6,Fastrack,0.75,7000,Yes,monsoon,mountains,0.9
6,1,2.5,female,200,2.2,Wakefit,-0.7,600,No,spring,plains,0.3
19,8,4.0,male,6000,4.4,Kama Ayurveda,0.2,5000,Yes,winter,mountains,0.8
1,0,1.0,female,100,1.0,Biovea,-1.0,100,No,summer,coastal,0.0
34,15,4.5,male,8000,4.8,Urban Ladder,0.9,9000,Yes,winter,mountains,0.95
9,2,3.3,female,400,2.8,The Moms Co.,-0.4,800,No,spring,plains,0.45
42,16,4.9,male,7000,4.7,Himalaya Liv.52,0.8,9000,Yes,monsoon,mountains,0.95
4,0,2.0,female,100,1.5,Manyavar Mohey,-0.85,200,No,summer,coastal,0.03
28,11,4.2,male,2000,3.7,Streax,0.1,2000,No,winter,plains,0.6
18,7,4.1,female,700,4.4,Khadi Essentials,-0.2,800,No,summer,plains,0.6
37,15,4.6,male,6000,4.7,Patanjali Ayurved (Health Care),0.7,5000,Yes,winter,mountains,0.8
5,2,2.8,female,100,2.1,Flying Machine,-0.6,300,No,spring,plains,0.25
23,10,3.9,male,2000,3.5,Lee,-0.1,2000,No,winter,plains,0.55
46,18,4.8,male,9000,4.9,Dettol,0.9,10000,Yes,winter,mountains,0.95
3,1,1.5,female,100,1.2,Manyavar Mohey,-0.9,100,No,summer,coastal,0.025
30,12,4.3,male,4000,4.1,Lijoba,0.3,3000,No,monsoon,mountains,0.7
15,6,3.6,female,500,3.0,Max,-0.4,800,No,spring,plains,0.45
39,16,4.7,male,7000,4.8,Fastrack,0.8,8000,Yes,monsoon,mountains,0.9
1,0,1.0,female,100,1.0,Biovea,-1.0,100,No,summer,coastal,0.0
26,11,4.0,male,3000,3.9,Johnson & Johnson,0.1,3000,No,winter,plains,0.65
11,4,3.4,female,300,2.7,Wakefit,-0.5,500,No,spring,plains,0.4
44,17,4.8,male,8000,4.6,Urban Ladder,0.85,9000,Yes,winter,mountains,0.95
4,1,2.0,female,200,1.8,Manyavar Mohey,-0.85,200,No,summer,coastal,0.03
32,13,4.4,male,5000,4.5,Dettol,0.6,6000,No,monsoon,mountains,0.8
13,5,3.5,female,700,3.2,Pepperfry,-0.3,900,No,spring,plains,0.5
41,17,4.9,male,7000,4.8,Himalaya Liv.52,0.85,8000,Yes,monsoon,mountains,0.95
7,2,2.2,female,100,1.9,Libram,-0.7,300,No,summer,coastal,0.15
29,12,4.3,male,4000,4.2,Lijoba,0.4,3000,No,monsoon,mountains,0.7
16,7,3.8,female,600,3.3,Pepe Jeans London,-0.2,1000,No,spring,plains,0.55
38,16,4.7,male,7000,4.9,Allen Solly Woman,0.9,10000,Yes,winter,mountains,0.9
2,0,1.0,female,100,1.0,Biovea,-1.0,100,No,summer,coastal,0.0
27,11,4.1,male,4000,3.8,Head & Shoulders,0.2,4000,No,winter,plains,0.7
9,3,3.2,female,400,2.9,The Moms Co.,-0.4,800,No,spring,plains,0.45
48,19,4.9,male,10000,4.6,Dettol,0.9,9000,Yes,winter,mountains,0.95
6,1,2.5,female,200,2.2,Wakefit,-0.6,600,No,spring,plains,0.3
34,14,4.5,male,8000,4.8,Urban Ladder,0.9,9000,Yes,winter,mountains,0.95
10,4,3.3,female,500,2.8,The Moms Co.,-0.5,900,No,spring,plains,0.4
45,18,4.8,male,9000,4.9,Dettol,0.9,10000,Yes,winter,mountains,0.95
8,2,2.8,female,200,2.1,Flying Machine,-0.7,300,No,spring,plains,0.25
33,13,4.4,male,5000,4.5,Dettol,0.7,6000,No,monsoon,mountains,0.8
12,5,3.4,female,600,3.1,Pepperfry,-0.3,1000,No,spring,plains,0.5
50,20,5.0,male,10000,4.8,Streax,1.0,10000,Yes,winter,mountains,1.0
21,9,3.9,female,800,3.6,Kama Ayurveda,-0.1,600,No,spring,plains,0.55
49,19,4.9,male,10000,4.8,Himalaya Liv.52,0.9,9000,Yes,monsoon,mountains,0.95
14,6,3.5,female,700,3.2,Pepperfry,-0.4,900,No,spring,plains,0.5
36,15,4.5,male,6000,4.7,Patanjali Ayurved (Health Care),0.8,5000,Yes,winter,mountains,0.85
17,8,3.7,female,900,3.4,Max,-0.2,1200,No,spring,plains,0.6
43,17,4.8,male,8000,4.7,Himalaya Liv.52,0.9,8000,Yes,winter,mountains,0.95
19,7,3.8,female,700,3.5,Khadi Essentials,-0.3,700,No,spring,plains,0.55
35,14,4.6,male,7000,4.9,Allen Solly Woman,0.95,10000,Yes,winter,mountains,0.9
20,8,3.8,female,800,3.5,Khadi Essentials,-0.2,800,No,spring,plains,0.6
47,19,4.9,male,10000,4.7,Himalaya Liv.52,0.9,9000,Yes,monsoon,mountains,0.95
22,10,4.0,female,800,3.7,Kama Ayurveda,-0.1,700,No,spring,plains,0.6
40,16,4.7,male,7000,4.8,Fastrack,0.85,8000,Yes,monsoon,mountains,0.9
25,11,4.2,female,1000,3.8,Flying Machine,-0.1,1500,No,spring,plains,0.6
42,18,4.8,male,8000,4.6,Himalaya Liv.52,0.9,8000,Yes,monsoon,mountains,0.95
7,3,2.5,female,200,2.2,Wakefit,-0.7,600,No,spring,plains,0.3
27,12,4.1,male,5000,4.3,Dettol,0.5,5000,No,monsoon,mountains,0.8
44,18,4.8,male,9000,4.7,Himalaya Liv.52,0.9,9000,Yes,winter,mountains,0.95
3,1,1.5,female,100,1.3,Manyavar Mohey,-0.8,100,No,summer,coastal,0.025
29,13,4.4,male,4000,4.1,Lijoba,0.4,3000,No,monsoon,mountains,0.7
16,7,3.7,female,600,3.3,Pepe Jeans London,-0.2,1000,No,spring,plains,0.55
46,19,4.9,male,10000,4.8,Dettol,0.9,9000,Yes,winter,mountains,0.95
2,0,1.0,female,100,1.1,Libram,-0.9,100,No,summer,coastal,0.0
30,13,4.5,male,5000,4.6,Dettol,0.6,6000,No,monsoon,mountains,0.85
13,6,3.6,female,800,3.4,Pepperfry,-0.4,1100,No,spring,plains,0.55
45,19,4.9,male,10000,4.8,Himalaya Liv.52,0.9,10000,Yes,monsoon,mountains,0.95
8,3,3.0,female,300,2.5,Flying Machine,-0.6,400,No,spring,plains,0.35
33,14,4.4,male,6000,4.7,Patanjali Ayurved (Health Care),0.7,5000,Yes,winter,mountains,0.85
11,5,3.4,female,600,3.0,Pepperfry,-0.5,1100,No,spring,plains,0.5
48,20,5.0,male,10000,4.9,Himalaya Liv.52,0.95,10000,Yes,winter,mountains,1.0
4,1,2.0,female,200,1.9,Manyavar Mohey,-0.8,200,No,summer,coastal,0.03
28,12,4.0,male,5000,3.8,Head & Shoulders,0.3,5000,No,monsoon,mountains,0.75
14,7,3.8,female,700,3.5,Pepperfry,-0.3,1200,No,spring,plains,0.6
43,18,4.8,male,9000,4.7,Himalaya Liv.52,0.9,9000,Yes,winter,mountains,0.95
9,4,3.2,female,400,2.7,The Moms Co.,-0.5,1000,No,spring,plains,0.4
34,15,4.5,male,8000,4.9,Allen Solly Woman,0.95,10000,Yes,winter,mountains,0.9
12,6,3.5,female,800,3.3,Pepperfry,-0.4,1100,No,spring,plains,0.55
49,20,4.9,male,10000,4.8,Himalaya Liv.52,0.9,10000,Yes,monsoon,mountains,0.95
5,2,2.3,female,200,2.0,Flying Machine,-0.7,500,No,spring,plains,0.3
31,14,4.5,male,6000,4.7,Patanjali Ayurved (Health Care),0.75,6000,No,monsoon,mountains,0.85
15,8,3.9,female,900,3.6,Max,-0.2,1300,No,spring,plains,0.65
47,19,4.9,male,10000,4.7,Himalaya Liv.52,0.9,9000,Yes,monsoon,mountains,0.95
10,5,3.3,female,600,3.1,The Moms Co.,-0.4,1100,No,spring,plains,0.5
36,16,4.6,male,7000,4.8,Patanjali Ayurved (Health Care),0.8,5000,Yes,winter,mountains,0.85
17,8,3.8,female,900,3.5,Max,-0.2,1300,No,spring,plains,0.6
50,20,5.0,male,10000,4.9,Streax,1.0,10000,Yes,winter,mountains,1.0
32,14,4.5,male,6000,4.8,Patanjali Ayurved (Health Care),0.8,6000,Yes,winter,mountains,0.9
18,9,4.0,female,1000,3.7,Khadi Essentials,-0.1,800,No,spring,plains,0.6
37,16,4.7,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9
19,8,3.8,female,800,3.6,Khadi Essentials,-0.3,700,No,spring,plains,0.55
38,17,4.7,male,7000,4.8,Fastrack,0.9,8000,Yes,monsoon,mountains,0.95
6,2,2.5,female,200,2.3,Wakefit,-0.6,600,No,spring,plains,0.3
35,15,4.6,male,6000,4.9,Allen Solly Woman,0.95,10000,Yes,winter,mountains,0.9
21,10,4.1,female,1000,3.8,Kama Ayurveda,-0.1,700,No,spring,plains,0.6
39,17,4.8,male,8000,4.7,Himalaya Liv.52,0.9,8000,Yes,winter,mountains,0.95
20,9,4.0,female,1000,3.7,Khadi Essentials,-0.2,800,No,spring,plains,0.6
40,17,4.8,male,7000,4.9,Allen Solly Woman,0.95,10000,Yes,winter,mountains,0.9
26,12,4.2,female,1000,3.9,Flying Machine,-0.1,1500,No,spring,plains,0.6
41,18,4.8,male,8000,4.7,Himalaya Liv.52,0.9,8000,Yes,monsoon,mountains,0.95
8,4,3.0,female,300,2.6,Flying Machine,-0.6,400,No,spring,plains,0.35
34,15,4.4,male,6000,4.7,Patanjali Ayurved (Health Care),0.75,5000,Yes,winter,mountains,0.85
45,19,4.9,male,10000,4.8,Himalaya Liv.52,0.9,10000,Yes,monsoon,mountains,0.95
4,2,2.2,female,200,2.0,Manyavar Mohey,-0.8,300,No,summer,coastal,0.025
30,14,4.5,male,5000,4.6,Dettol,0.7,6000,No,monsoon,mountains,0.85
17,8,3.8,female,700,3.4,Max,-0.2,1200,No,spring,plains,0.6
47,20,5.0,male,10000,4.9,Himalaya Liv.52,0.95,10000,Yes,winter,mountains,1.0
2,1,1.3,female,100,1.2,Manyavar Mohey,-0.9,100,No,summer,coastal,0.015
31,15,4.6,male,6000,4.8,Patanjali Ayurved (Health Care),0.8,6000,Yes,winter,mountains,0.9
14,7,3.9,female,800,3.6,Pepperfry,-0.3,1100,No,spring,plains,0.6
48,20,5.0,male,10000,4.9,Himalaya Liv.52,0.95,10000,Yes,winter,mountains,1.0
6,3,2.5,female,200,2.3,Wakefit,-0.6,600,No,spring,plains,0.3
32,15,4.4,male,6000,4.7,Patanjali Ayurved (Health Care),0.75,6000,Yes,winter,mountains,0.85
15,8,3.9,female,900,3.5,Max,-0.2,1300,No,spring,plains,0.65
48,19,4.9,male,10000,4.8,Himalaya Liv.52,0.9,9000,Yes,monsoon,mountains,0.95
10,6,3.2,female,600,3.1,The Moms Co.,-0.4,1100,No,spring,plains,0.5
37,17,4.7,male,7000,4.8,Patanjali Ayurved (Health Care),0.85,6000,Yes,winter,mountains,0.9
12,7,3.5,female,800,3.3,Pepperfry,-0.4,1100,No,spring,plains,0.55
49,20,4.9,male,10000,4.8,Himalaya Liv.52,0.9,10000,Yes,monsoon,mountains,0.95
5,3,2.5,female,200,2.1,Flying Machine,-0.7,500,No,spring,plains,0.3
33,15,4.4,male,6000,4.8,Patanjali Ayurved (Health Care),0.8,6000,No,winter,mountains,0.9
13,7,3.7,female,900,3.5,Pepperfry,-0.3,1200,No,spring,plains,0.6
50,20,5.0,male,10000,4.9,Streax,1.0,10000,Yes,winter,mountains,1.0
7,3,2.5,female,200,2.2,Wakefit,-0.6,600,No,spring,plains,0.3
